<0000> ７月３１日(月);;;<0000> 31/07 (lun.)
<0001> 無気力に一日をやり過ごした。;;;<0001> J'avais passé toute la journée complètement apathique.
<0002> 何台かバスが、通り過ぎた。;;;<0002> Quelques bus étaient passés devant moi.
<0003> 俺がベンチで寝ているためか、いちいち停車してくれた。;;;<0003> Puisque j'étais allongé sur le banc, tous s'étaient arrêtés.
<0004> 結局誰も降りず、誰も乗せずにバスは去っていった。;;;<0004> Et à chaque fois, personne n'en descendait, personne n'y montait, et le bus repartait.
<0005> もわっとした熱気とバスの残した排気に包まれる。;;;<0005> Et j'étais à chaque fois noyé dans les gaz d'échappement du bus mêlés à l'air chaud et étouffant.
<0006> 息を吸うと、潮の匂いが鼻をつく。;;;<0006> Quand j'inspirais, le parfum des flux et reflux pénétrait mon nez.
<0007> もう慣れてしまった匂いだ。;;;<0007> Un parfum auquel je m'étais habitué.
<0008> 陽光は何にも遮られることなく首筋を焼き続けていた。;;;<0008> Les rayons du soleil continuaient à brûler ma nuque dénudée.
<0009> \{\m{A}}「アジィ…」;;;<0009> Fais chaud...
<0010> そもそもこんな暑さの中、徒歩で隣町までゆくなんて、正気の沙汰じゃない。;;;<0010> En premier lieu, personne de sain d'esprit n'irait jusqu'au prochain village à pied dans une chaleur pareille.
<0011> 夜の涼しいうちに出ておけばよかった。;;;<0011> J'aurais dû partir la nuit, quand il faisait plus frais.
<0012> それに…;;;<0012> Et puis...
<0013> ぐぅ～…;;;<0013> \bGargouille\u~...
<0014> \{\m{A}}「腹減った…」;;;<0014> Je meurs de faim...
<0015> なにもかもが、振り出しだった。;;;<0015> L'histoire se répétait.
<0016> この町に初めて下車したときのことを思い出す。;;;<0016> Je me rappelai la fois où j'étais descendu dans ce village pour la première fois.
<0017> 通りかかった子供相手に、商売を始めて、人形を蹴られて…;;;<0017> J'avais voulu montrer mon numéro à des enfants qui passaient par là, et l'un d'entre eux avait donné un coup de pied à ma marionnette...
<0018> 老婆に追い抜かれ、気を失って、そして、漁協組合で目を覚まして…;;;<0018> Je m'étais fait dépasser par une vieille femme, j'avais perdu connaissance, puis j'avais repris mes esprits dans une coopérative de pêcheurs...
